Folder,Files,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
I:\dev\language-ext\LanguageExt.Core\DataTypes\Tuple,15,2833,1553,533,25,323,0,957,2626,0,0
I:\dev\language-ext\LanguageExt.Core\DataTypes\Tuple\Tuple1,2,198,106,44,2,23,0,69,198,0,0
I:\dev\language-ext\LanguageExt.Core\DataTypes\Tuple\Tuple2,2,353,181,67,3,43,0,129,347,0,0
I:\dev\language-ext\LanguageExt.Core\DataTypes\Tuple\Tuple3,2,393,209,75,4,46,0,138,376,0,0
I:\dev\language-ext\LanguageExt.Core\DataTypes\Tuple\Tuple4,2,416,228,78,4,47,0,141,390,0,0
I:\dev\language-ext\LanguageExt.Core\DataTypes\Tuple\Tuple5,2,450,249,83,4,51,0,150,414,0,0
I:\dev\language-ext\LanguageExt.Core\DataTypes\Tuple\Tuple6,2,480,271,87,4,53,0,156,432,0,0
I:\dev\language-ext\LanguageExt.Core\DataTypes\Tuple\Tuple7,2,485,280,88,4,52,0,153,420,0,0
I:\dev\language-ext\LanguageExt.Core\DataTypes\Unit,2,100,57,22,0,17,0,26,102,0,0
I:\dev\language-ext\LanguageExt.Core\DataTypes\UnitsOfMeasure,8,1384,965,425,16,367,0,52,306,0,0
I:\dev\language-ext\LanguageExt.Core\DataTypes\Validation,5,1634,808,304,53,175,0,651,3430,0,0
I:\dev\language-ext\LanguageExt.Core\DataTypes\ValueTuple,15,2822,1549,531,25,322,0,951,2627,0,0
I:\dev\language-ext\LanguageExt.Core\DataTypes\ValueTuple\Tuple1,2,200,108,44,2,23,0,69,198,0,0
I:\dev\language-ext\LanguageExt.Core\DataTypes\ValueTuple\Tuple2,2,339,175,65,3,41,0,123,335,0,0
I:\dev\language-ext\LanguageExt.Core\DataTypes\ValueTuple\Tuple3,2,386,206,74,4,45,0,135,370,0,0
I:\dev\language-ext\LanguageExt.Core\DataTypes\ValueTuple\Tuple4,2,416,227,78,4,48,0,141,390,0,0
I:\dev\language-ext\LanguageExt.Core\DataTypes\ValueTuple\Tuple5,2,443,246,82,4,50,0,147,408,0,0
I:\dev\language-ext\LanguageExt.Core\DataTypes\ValueTuple\Tuple6,2,472,267,86,4,52,0,153,426,0,0
I:\dev\language-ext\LanguageExt.Core\DataTypes\ValueTuple\Tuple7,2,501,288,90,4,54,0,159,444,0,0
I:\dev\language-ext\LanguageExt.Core\DataTypes\VectorClock,2,356,245,143,35,40,0,71,369,0,0
I:\dev\language-ext\LanguageExt.Core\DataTypes\Writer,3,426,262,107,24,43,0,121,524,0,0
I:\dev\language-ext\LanguageExt.Core\Extensions,6,436,298,137,19,81,0,57,284,0,0
I:\dev\language-ext\LanguageExt.Core\HKT,14,170697,54895,13878,1125,12316,7,103486,715774,0,5
I:\dev\language-ext\LanguageExt.Core\HKT\Async,1,12731,4178,915,100,878,1,7675,52926,0,1
I:\dev\language-ext\LanguageExt.Core\HKT\AsyncSync,1,19320,6142,1753,125,1418,1,11760,80800,0,1
I:\dev\language-ext\LanguageExt.Core\HKT\Extensions,2,1106,916,454,134,177,0,13,39,0,0
I:\dev\language-ext\LanguageExt.Core\HKT\Sync,2,105617,32915,8274,494,7585,2,65117,450403,0,2
I:\dev\language-ext\LanguageExt.Core\HKT\SyncAsync,1,30996,10038,2225,260,2083,1,18875,131405,0,1
I:\dev\language-ext\LanguageExt.Core\Prelude,15,5360,2490,795,87,598,0,2272,9314,0,0
I:\dev\language-ext\LanguageExt.Core\TypeClasses,76,8516,3649,1261,77,785,0,4082,24330,0,0
I:\dev\language-ext\LanguageExt.Core\TypeClasses\Alternative,1,22,10,5,0,3,0,9,33,0,0
I:\dev\language-ext\LanguageExt.Core\TypeClasses\Applicative,1,86,27,11,0,6,0,53,292,0,0
I:\dev\language-ext\LanguageExt.Core\TypeClasses\ApplicativeAsync,1,87,28,12,0,6,0,53,292,0,0
