File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
I:\dev\language-ext\LanguageExt.Core\ClassInstances\Eq\EqCompositions.cs,14,11,5,0,3,0,0,0,0,0
I:\dev\language-ext\LanguageExt.Core\ClassInstances\Eq\EqDateTime.cs,35,17,9,0,4,0,14,68,0,0
I:\dev\language-ext\LanguageExt.Core\ClassInstances\Eq\EqDecimal.cs,34,16,8,0,4,0,14,69,0,0
I:\dev\language-ext\LanguageExt.Core\ClassInstances\Eq\EqDefault.cs,70,42,20,7,9,0,19,132,0,0
I:\dev\language-ext\LanguageExt.Core\ClassInstances\Eq\EqDouble.cs,34,15,7,0,5,0,14,69,0,0
I:\dev\language-ext\LanguageExt.Core\ClassInstances\Eq\EqEdit.cs,14,9,5,0,2,0,3,10,0,0
I:\dev\language-ext\LanguageExt.Core\ClassInstances\Eq\EqEnumerable.cs,78,42,24,6,8,0,28,136,0,0
I:\dev\language-ext\LanguageExt.Core\ClassInstances\Eq\EqFloat.cs,34,16,8,0,4,0,14,69,0,0
I:\dev\language-ext\LanguageExt.Core\ClassInstances\Eq\EqGuid.cs,35,17,9,0,4,0,14,68,0,0
I:\dev\language-ext\LanguageExt.Core\ClassInstances\Eq\EqHashSet.cs,77,39,22,4,10,0,28,136,0,0
I:\dev\language-ext\LanguageExt.Core\ClassInstances\Eq\EqInt.cs,34,16,8,0,4,0,14,68,0,0
I:\dev\language-ext\LanguageExt.Core\ClassInstances\Eq\EqLong.cs,34,15,7,0,5,0,14,68,0,0
I:\dev\language-ext\LanguageExt.Core\ClassInstances\Eq\EqLst.cs,69,37,20,4,10,0,22,122,0,0
I:\dev\language-ext\LanguageExt.Core\ClassInstances\Eq\EqMap.cs,50,25,10,0,5,0,20,104,0,0
I:\dev\language-ext\LanguageExt.Core\ClassInstances\Eq\EqNewType.cs,101,49,25,8,10,0,42,228,0,0
I:\dev\language-ext\LanguageExt.Core\ClassInstances\Eq\EqNumType.cs,72,39,18,8,5,0,28,152,0,0
I:\dev\language-ext\LanguageExt.Core\ClassInstances\Eq\EqOption.cs,17,11,5,0,3,0,3,8,0,0
I:\dev\language-ext\LanguageExt.Core\ClassInstances\Eq\EqOptional.cs,87,48,21,6,11,0,28,152,0,0
I:\dev\language-ext\LanguageExt.Core\ClassInstances\Eq\EqOptionalAsync.cs,94,54,23,7,12,0,28,152,0,0
I:\dev\language-ext\LanguageExt.Core\ClassInstances\Eq\EqOptionalUnsafe.cs,87,48,21,6,11,0,28,152,0,0
I:\dev\language-ext\LanguageExt.Core\ClassInstances\Eq\EqOptionAsync.cs,30,19,9,0,5,0,6,16,0,0
I:\dev\language-ext\LanguageExt.Core\ClassInstances\Eq\EqOptionUnsafe.cs,17,11,5,0,3,0,3,8,0,0
I:\dev\language-ext\LanguageExt.Core\ClassInstances\Eq\EqPatch.cs,16,9,5,0,2,0,5,15,0,0
I:\dev\language-ext\LanguageExt.Core\ClassInstances\Eq\EqQue.cs,70,37,20,4,11,0,22,122,0,0
I:\dev\language-ext\LanguageExt.Core\ClassInstances\Eq\EqRecord.cs,18,11,5,0,3,0,4,16,0,0
I:\dev\language-ext\LanguageExt.Core\ClassInstances\Eq\EqResult.cs,33,28,9,0,5,0,0,0,0,0
I:\dev\language-ext\LanguageExt.Core\ClassInstances\Eq\EqSeq.cs,80,43,25,7,9,0,28,136,0,0
I:\dev\language-ext\LanguageExt.Core\ClassInstances\Eq\EqSet.cs,73,36,19,4,9,0,28,136,0,0
I:\dev\language-ext\LanguageExt.Core\ClassInstances\Eq\EqShort.cs,33,15,7,0,4,0,14,68,0,0
I:\dev\language-ext\LanguageExt.Core\ClassInstances\Eq\EqStck.cs,70,37,20,4,11,0,22,122,0,0
I:\dev\language-ext\LanguageExt.Core\ClassInstances\Eq\EqString.cs,142,56,24,0,16,0,70,350,0,0
I:\dev\language-ext\LanguageExt.Core\ClassInstances\Eq\EqTask.cs,15,12,6,0,3,0,0,0,0,0
I:\dev\language-ext\LanguageExt.Core\ClassInstances\Eq\EqTaskAsync.cs,24,19,9,0,5,0,0,0,0,0
I:\dev\language-ext\LanguageExt.Core\ClassInstances\Eq\EqTry.cs,63,38,21,4,7,0,18,102,0,0
I:\dev\language-ext\LanguageExt.Core\ClassInstances\Eq\EqTryAsync.cs,26,21,9,0,5,0,0,0,0,0
I:\dev\language-ext\LanguageExt.Core\ClassInstances\Eq\EqTryOpt.cs,63,38,21,4,7,0,18,100,0,0
I:\dev\language-ext\LanguageExt.Core\ClassInstances\Eq\EqTryOptionAsync.cs,27,22,9,0,5,0,0,0,0,0
I:\dev\language-ext\LanguageExt.Core\ClassInstances\Eq\EqTypeInfo.cs,15,12,6,0,3,0,0,0,0,0
I:\dev\language-ext\LanguageExt.Core\ClassInstances\Foldable\FoldCompositions.cs,50,40,25,4,10,0,0,0,0,0
I:\dev\language-ext\LanguageExt.Core\ClassInstances\Foldable\FoldTuple.cs,367,318,216,28,44,0,5,28,0,0
I:\dev\language-ext\LanguageExt.Core\ClassInstances\Foldable\FoldValidation.cs,68,55,18,0,13,0,0,0,0,0
I:\dev\language-ext\LanguageExt.Core\ClassInstances\Foldable\FoldValidationSeq.cs,67,54,18,0,13,0,0,0,0,0
I:\dev\language-ext\LanguageExt.Core\ClassInstances\Functor\FArr.cs,25,22,12,2,3,0,0,0,0,0
I:\dev\language-ext\LanguageExt.Core\ClassInstances\Functor\FArray.cs,26,23,13,2,3,0,0,0,0,0
I:\dev\language-ext\LanguageExt.Core\ClassInstances\Functor\FEither.cs,41,35,11,0,6,0,0,0,0,0
I:\dev\language-ext\LanguageExt.Core\ClassInstances\Functor\FEitherAsync.cs,37,30,12,0,7,0,0,0,0,0
I:\dev\language-ext\LanguageExt.Core\ClassInstances\Functor\FEitherUnsafe.cs,41,35,11,0,6,0,0,0,0,0
I:\dev\language-ext\LanguageExt.Core\ClassInstances\Functor\FEnumerable.cs,23,20,11,1,3,0,0,0,0,0
I:\dev\language-ext\LanguageExt.Core\ClassInstances\Functor\FHashMap.cs,30,25,12,0,5,0,0,0,0,0
I:\dev\language-ext\LanguageExt.Core\ClassInstances\Functor\FHashSet.cs,20,17,10,0,3,0,0,0,0,0
I:\dev\language-ext\LanguageExt.Core\ClassInstances\Functor\FLst.cs,17,14,7,0,3,0,0,0,0,0
I:\dev\language-ext\LanguageExt.Core\ClassInstances\Functor\FMap.cs,30,25,12,0,5,0,0,0,0,0
I:\dev\language-ext\LanguageExt.Core\ClassInstances\Functor\FNullable.cs,25,21,9,0,4,0,0,0,0,0
I:\dev\language-ext\LanguageExt.Core\ClassInstances\Functor\FOption.cs,23,19,9,0,4,0,0,0,0,0
I:\dev\language-ext\LanguageExt.Core\ClassInstances\Functor\FOptional.cs,29,25,9,0,4,0,0,0,0,0
I:\dev\language-ext\LanguageExt.Core\ClassInstances\Functor\FOptionalUnsafe.cs,29,25,9,0,4,0,0,0,0,0
I:\dev\language-ext\LanguageExt.Core\ClassInstances\Functor\FOptionAsync.cs,70,58,22,4,12,0,0,0,0,0
I:\dev\language-ext\LanguageExt.Core\ClassInstances\Functor\FOptionUnsafe.cs,27,23,9,0,4,0,0,0,0,0
I:\dev\language-ext\LanguageExt.Core\ClassInstances\Functor\FQue.cs,17,14,7,0,3,0,0,0,0,0
I:\dev\language-ext\LanguageExt.Core\ClassInstances\Functor\FSeq.cs,20,17,10,0,3,0,0,0,0,0
I:\dev\language-ext\LanguageExt.Core\ClassInstances\Functor\FSet.cs,32,26,13,0,6,0,0,0,0,0
I:\dev\language-ext\LanguageExt.Core\ClassInstances\Functor\FStck.cs,17,14,7,0,3,0,0,0,0,0
I:\dev\language-ext\LanguageExt.Core\ClassInstances\Functor\FTask.cs,40,32,14,0,8,0,0,0,0,0
I:\dev\language-ext\LanguageExt.Core\ClassInstances\Functor\FTry.cs,23,19,9,0,4,0,0,0,0,0
I:\dev\language-ext\LanguageExt.Core\ClassInstances\Functor\FTryAsync.cs,52,44,14,0,8,0,0,0,0,0
I:\dev\language-ext\LanguageExt.Core\ClassInstances\Functor\FTryOption.cs,23,19,9,0,4,0,0,0,0,0
I:\dev\language-ext\LanguageExt.Core\ClassInstances\Functor\FTryOptionAsync.cs,52,44,14,0,8,0,0,0,0,0
I:\dev\language-ext\LanguageExt.Core\ClassInstances\Functor\FTupleBi.cs,44,19,9,0,4,0,21,99,0,0
I:\dev\language-ext\LanguageExt.Core\ClassInstances\Functor\FTupleFst.cs,75,31,13,0,7,0,37,155,0,0
I:\dev\language-ext\LanguageExt.Core\ClassInstances\Functor\FTupleSnd.cs,75,31,13,0,7,0,37,155,0,0
I:\dev\language-ext\LanguageExt.Core\ClassInstances\Functor\FTupleThrd.cs,42,19,9,0,4,0,19,80,0,0
I:\dev\language-ext\LanguageExt.Core\ClassInstances\Functor\FTupleTri.cs,47,19,9,0,5,0,23,113,0,0
I:\dev\language-ext\LanguageExt.Core\ClassInstances\Functor\FValidation.cs,28,24,9,0,4,0,0,0,0,0
I:\dev\language-ext\LanguageExt.Core\ClassInstances\Functor\FValidationSeq.cs,27,23,9,0,4,0,0,0,0,0
I:\dev\language-ext\LanguageExt.Core\ClassInstances\Monad\MArr.cs,111,86,36,4,21,0,4,13,0,0
I:\dev\language-ext\LanguageExt.Core\ClassInstances\Monad\MArray.cs,120,93,40,6,23,0,4,11,0,0
I:\dev\language-ext\LanguageExt.Core\ClassInstances\Monad\MEither.cs,228,189,52,18,39,0,0,0,0,0
I:\dev\language-ext\LanguageExt.Core\ClassInstances\Monad\MEitherAsync.cs,319,250,96,14,68,0,1,5,0,0
I:\dev\language-ext\LanguageExt.Core\ClassInstances\Monad\MEitherUnsafe.cs,203,169,50,16,34,0,0,0,0,0
I:\dev\language-ext\LanguageExt.Core\ClassInstances\Monad\MEnumerable.cs,133,106,45,7,23,0,4,11,0,0
I:\dev\language-ext\LanguageExt.Core\ClassInstances\Monad\MHashSet.cs,95,71,26,0,20,0,4,12,0,0
I:\dev\language-ext\LanguageExt.Core\ClassInstances\Monad\MIdentity.cs,80,60,22,1,16,0,4,8,0,0
I:\dev\language-ext\LanguageExt.Core\ClassInstances\Monad\MLst.cs,113,87,36,4,22,0,4,13,0,0
I:\dev\language-ext\LanguageExt.Core\ClassInstances\Monad\MNullable.cs,171,141,40,16,30,0,0,0,0,0
I:\dev\language-ext\LanguageExt.Core\ClassInstances\Monad\MOption.cs,232,199,75,49,33,0,0,0,0,0
I:\dev\language-ext\LanguageExt.Core\ClassInstances\Monad\MOptionAsync.cs,335,288,129,88,47,0,0,0,0,0
I:\dev\language-ext\LanguageExt.Core\ClassInstances\Monad\MOptionUnsafe.cs,202,173,67,40,29,0,0,0,0,0
I:\dev\language-ext\LanguageExt.Core\ClassInstances\Monad\MQue.cs,101,77,30,0,20,0,4,13,0,0
I:\dev\language-ext\LanguageExt.Core\ClassInstances\Monad\MReader.cs,99,82,38,8,17,0,0,0,0,0
I:\dev\language-ext\LanguageExt.Core\ClassInstances\Monad\MRWS.cs,104,85,44,12,19,0,0,0,0,0
I:\dev\language-ext\LanguageExt.Core\ClassInstances\Monad\MSeq.cs,106,82,34,3,20,0,4,11,0,0
I:\dev\language-ext\LanguageExt.Core\ClassInstances\Monad\MSet.cs,96,72,27,0,20,0,4,11,0,0
I:\dev\language-ext\LanguageExt.Core\ClassInstances\Monad\MState.cs,100,84,35,8,16,0,0,0,0,0
I:\dev\language-ext\LanguageExt.Core\ClassInstances\Monad\MStck.cs,100,76,30,0,20,0,4,13,0,0
I:\dev\language-ext\LanguageExt.Core\ClassInstances\Monad\MTask.cs,207,152,54,2,44,0,11,44,0,0
I:\dev\language-ext\LanguageExt.Core\ClassInstances\Monad\MTaskFirst.cs,377,319,138,41,45,0,13,52,0,0
I:\dev\language-ext\LanguageExt.Core\ClassInstances\Monad\MTry.cs,233,191,79,31,36,0,6,25,0,0
I:\dev\language-ext\LanguageExt.Core\ClassInstances\Monad\MTryAsync.cs,211,153,58,3,47,0,11,44,0,0
I:\dev\language-ext\LanguageExt.Core\ClassInstances\Monad\MTryFirstAsync.cs,402,338,147,50,50,0,14,55,0,0
I:\dev\language-ext\LanguageExt.Core\ClassInstances\Monad\MTryOption.cs,212,175,74,31,31,0,6,25,0,0
I:\dev\language-ext\LanguageExt.Core\ClassInstances\Monad\MTryOptionAsync.cs,214,156,57,3,47,0,11,44,0,0
I:\dev\language-ext\LanguageExt.Core\ClassInstances\Monad\MTryOptionFirstAsync.cs,297,233,87,18,50,1,14,58,0,0
I:\dev\language-ext\LanguageExt.Core\ClassInstances\Monad\MValidation.cs,135,110,31,1,25,0,0,0,0,0
I:\dev\language-ext\LanguageExt.Core\ClassInstances\Monad\MValidationSeq.cs,140,114,32,2,26,0,0,0,0,0
I:\dev\language-ext\LanguageExt.Core\ClassInstances\Monad\MWriter.cs,118,91,39,12,16,0,11,70,0,0
I:\dev\language-ext\LanguageExt.Core\ClassInstances\Monoid\All.cs,52,37,16,0,12,0,3,11,0,0
I:\dev\language-ext\LanguageExt.Core\ClassInstances\Monoid\Any.cs,51,36,15,0,12,0,3,11,0,0
I:\dev\language-ext\LanguageExt.Core\ClassInstances\Monoid\MCompositions.cs,45,39,27,6,6,0,0,0,0,0
I:\dev\language-ext\LanguageExt.Core\ClassInstances\Monoid\MHashMap.cs,50,40,17,0,10,0,0,0,0,0
I:\dev\language-ext\LanguageExt.Core\ClassInstances\Monoid\MMap.cs,50,40,17,0,10,0,0,0,0,0
I:\dev\language-ext\LanguageExt.Core\ClassInstances\Monoid\MPatch.cs,111,92,46,16,9,0,10,41,0,0
I:\dev\language-ext\LanguageExt.Core\ClassInstances\Monoid\MUnit.cs,16,13,7,0,3,0,0,0,0,0
