File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
I:\dev\language-ext\LanguageExt.Core\DataTypes\Either\Either.Prelude.cs,753,227,76,8,60,0,466,2698,0,0
I:\dev\language-ext\LanguageExt.Core\DataTypes\Either\Either.Trans.cs,57,46,20,0,11,0,0,0,0,0
I:\dev\language-ext\LanguageExt.Core\DataTypes\Either\Task.Either.Extensions.cs,177,70,25,0,15,0,92,555,0,0
I:\dev\language-ext\LanguageExt.Core\DataTypes\Either-Shared\EItherData.cs,53,43,18,4,10,0,0,0,0,0
I:\dev\language-ext\LanguageExt.Core\DataTypes\Either-Shared\EitherLeft.cs,192,150,58,5,42,0,0,0,0,0
I:\dev\language-ext\LanguageExt.Core\DataTypes\Either-Shared\EitherRight.cs,247,193,72,6,54,0,0,0,0,0
I:\dev\language-ext\LanguageExt.Core\DataTypes\Either-Shared\EitherRightAndLeft.Extensions.cs,16,13,5,0,3,0,0,0,0,0
I:\dev\language-ext\LanguageExt.Core\DataTypes\Either-Shared\EitherState.cs,34,9,2,0,3,0,22,140,0,0
I:\dev\language-ext\LanguageExt.Core\DataTypes\Either-Shared\IEither.cs,44,35,21,0,9,0,0,0,0,0
I:\dev\language-ext\LanguageExt.Core\DataTypes\EitherAsync\EitherAsync.cs,1707,809,256,99,128,0,770,4711,0,0
I:\dev\language-ext\LanguageExt.Core\DataTypes\EitherAsync\EitherAsync.Extensions.cs,285,94,33,0,24,0,167,936,0,0
I:\dev\language-ext\LanguageExt.Core\DataTypes\EitherAsync\EitherAsync.Prelude.cs,1051,272,94,0,82,0,697,4169,0,0
I:\dev\language-ext\LanguageExt.Core\DataTypes\EitherUnsafe\EitherUnsafe.cs,980,412,157,22,101,0,467,2766,0,0
I:\dev\language-ext\LanguageExt.Core\DataTypes\EitherUnsafe\EitherUnsafe.Extensions.cs,399,187,70,23,48,0,164,924,0,0
I:\dev\language-ext\LanguageExt.Core\DataTypes\EitherUnsafe\EitherUnsafe.Prelude.cs,723,215,74,5,58,0,450,2616,0,0
I:\dev\language-ext\LanguageExt.Core\DataTypes\EitherUnsafe\EitherUnsafe.Trans.cs,57,46,20,0,11,0,0,0,0,0
I:\dev\language-ext\LanguageExt.Core\DataTypes\FloatType\FloatType.cs,61,27,11,1,4,0,30,147,0,0
I:\dev\language-ext\LanguageExt.Core\DataTypes\FloatType\FloatType.Extensions.cs,20,17,6,0,3,0,0,0,0,0
I:\dev\language-ext\LanguageExt.Core\DataTypes\FloatType\FloatType.Predicate.cs,494,213,78,9,59,0,222,1103,0,0
I:\dev\language-ext\LanguageExt.Core\DataTypes\FloatType\FloatType.Prelude.cs,240,151,30,0,25,0,64,488,0,0
I:\dev\language-ext\LanguageExt.Core\DataTypes\HashMap\HashMap.cs,881,365,155,17,107,0,409,2508,0,0
I:\dev\language-ext\LanguageExt.Core\DataTypes\HashMap\HashMap.Eq.cs,899,372,157,17,108,0,419,2567,0,0
I:\dev\language-ext\LanguageExt.Core\DataTypes\HashMap\HashMap.Extensions.cs,413,354,151,59,56,0,3,11,0,0
I:\dev\language-ext\LanguageExt.Core\DataTypes\HashMap\HashMap.Extensions.Eq.cs,23,17,11,0,3,0,3,11,0,0
I:\dev\language-ext\LanguageExt.Core\DataTypes\HashMap\HashMap.Internal.cs,1009,604,310,123,88,0,317,1915,0,0
I:\dev\language-ext\LanguageExt.Core\DataTypes\HashMap\HashMap.Module.cs,614,194,70,0,62,0,358,2282,0,0
I:\dev\language-ext\LanguageExt.Core\DataTypes\HashMap\HashMap.Module.Eq.cs,615,195,71,0,62,0,358,2282,0,0
I:\dev\language-ext\LanguageExt.Core\DataTypes\HashSet\HashSet.cs,533,250,103,19,64,0,219,1205,0,0
I:\dev\language-ext\LanguageExt.Core\DataTypes\HashSet\HashSet.Eq.cs,562,263,110,19,66,0,233,1281,0,0
I:\dev\language-ext\LanguageExt.Core\DataTypes\HashSet\HashSet.Internal.cs,586,490,255,113,68,0,28,161,0,0
I:\dev\language-ext\LanguageExt.Core\DataTypes\HashSet\HashSet.Module.cs,307,92,34,0,28,0,187,992,0,0
I:\dev\language-ext\LanguageExt.Core\DataTypes\HashSet\HashSet.Module.Eq.cs,323,98,36,0,29,0,196,1038,0,0
I:\dev\language-ext\LanguageExt.Core\DataTypes\Identity\Identity.cs,33,24,13,2,5,0,4,12,0,0
I:\dev\language-ext\LanguageExt.Core\DataTypes\List\ListInfo.cs,12,10,6,0,2,0,0,0,0,0
I:\dev\language-ext\LanguageExt.Core\DataTypes\List\Lst.cs,351,197,78,5,56,0,98,372,0,0
I:\dev\language-ext\LanguageExt.Core\DataTypes\List\Lst.Extensions.cs,974,330,126,12,83,0,561,3404,0,0
I:\dev\language-ext\LanguageExt.Core\DataTypes\List\Lst.Internal.cs,988,786,412,151,114,0,88,305,0,0
I:\dev\language-ext\LanguageExt.Core\DataTypes\List\Lst.Module.cs,1233,493,200,53,90,0,650,4017,0,0
I:\dev\language-ext\LanguageExt.Core\DataTypes\List\Lst.Predicate.cs,369,216,87,12,57,0,96,377,0,0
I:\dev\language-ext\LanguageExt.Core\DataTypes\List\Lst.Predicate2.cs,408,251,104,25,58,0,99,383,0,0
I:\dev\language-ext\LanguageExt.Core\DataTypes\Map\Map.cs,1065,441,211,31,131,0,493,3043,0,0
I:\dev\language-ext\LanguageExt.Core\DataTypes\Map\Map.EnumeratorK.cs,102,86,54,8,16,0,0,0,0,0
I:\dev\language-ext\LanguageExt.Core\DataTypes\Map\Map.EnumeratorKV.cs,102,86,54,8,16,0,0,0,0,0
I:\dev\language-ext\LanguageExt.Core\DataTypes\Map\Map.EnumeratorV.cs,102,86,54,8,16,0,0,0,0,0
I:\dev\language-ext\LanguageExt.Core\DataTypes\Map\Map.Extensions.cs,442,366,154,56,62,0,14,52,0,0
I:\dev\language-ext\LanguageExt.Core\DataTypes\Map\Map.Extensions.Ord.cs,42,27,14,0,4,0,11,51,0,0
I:\dev\language-ext\LanguageExt.Core\DataTypes\Map\Map.Internal.cs,1426,951,447,218,124,0,351,2100,0,0
I:\dev\language-ext\LanguageExt.Core\DataTypes\Map\Map.Module.cs,758,238,84,0,76,0,444,2834,0,0
I:\dev\language-ext\LanguageExt.Core\DataTypes\Map\Map.Module.Ord.cs,759,239,85,0,76,0,444,2830,0,0
I:\dev\language-ext\LanguageExt.Core\DataTypes\Map\Map.Ord.cs,1070,437,206,31,140,0,493,3043,0,0
I:\dev\language-ext\LanguageExt.Core\DataTypes\NewType\NewType.cs,52,23,11,1,4,0,25,114,0,0
I:\dev\language-ext\LanguageExt.Core\DataTypes\NewType\NewType.Predicate.cs,199,101,42,6,26,0,72,345,0,0
I:\dev\language-ext\LanguageExt.Core\DataTypes\NewType\NewType.Prelude.cs,46,40,13,0,6,0,0,0,0,0
I:\dev\language-ext\LanguageExt.Core\DataTypes\Nullable\Nullable.Extensions.cs,480,270,89,51,44,7,166,1110,0,0
I:\dev\language-ext\LanguageExt.Core\DataTypes\Nullable\Nullable.Prelude.cs,420,229,74,48,37,7,154,1055,0,0
I:\dev\language-ext\LanguageExt.Core\DataTypes\NumType\NumType.cs,61,27,11,1,5,0,29,144,0,0
I:\dev\language-ext\LanguageExt.Core\DataTypes\NumType\NumType.Extensions.cs,20,17,6,0,3,0,0,0,0,0
I:\dev\language-ext\LanguageExt.Core\DataTypes\NumType\NumType.Predicate.cs,317,163,62,9,43,0,111,537,0,0
I:\dev\language-ext\LanguageExt.Core\DataTypes\NumType\NumType.Prelude.cs,245,155,31,0,26,0,64,488,0,0
I:\dev\language-ext\LanguageExt.Core\DataTypes\Option\Option.cs,921,286,105,6,82,0,553,3420,0,0
I:\dev\language-ext\LanguageExt.Core\DataTypes\Option\Option.Extensions.Async.cs,989,238,86,0,76,0,675,4622,0,0
I:\dev\language-ext\LanguageExt.Core\DataTypes\Option\Option.Extensions.cs,286,123,43,7,24,0,139,835,0,0
I:\dev\language-ext\LanguageExt.Core\DataTypes\Option\Option.Prelude.cs,624,185,60,3,53,1,386,2495,0,0
I:\dev\language-ext\LanguageExt.Core\DataTypes\Option\Task.Option.Extensions.cs,1092,268,96,0,88,0,736,4893,0,0
I:\dev\language-ext\LanguageExt.Core\DataTypes\Option-Shared\IOptional.cs,45,35,21,0,10,0,0,0,0,0
I:\dev\language-ext\LanguageExt.Core\DataTypes\Option-Shared\OptionData.cs,119,98,52,16,21,0,0,0,0,0
I:\dev\language-ext\LanguageExt.Core\DataTypes\Option-Shared\OptionLazy.cs,14,7,5,0,2,0,5,36,0,0
I:\dev\language-ext\LanguageExt.Core\DataTypes\Option-Shared\OptionNone.cs,100,72,31,1,18,0,10,36,0,0
I:\dev\language-ext\LanguageExt.Core\DataTypes\Option-Shared\SomeContext.cs,74,35,21,0,9,0,30,166,0,0
I:\dev\language-ext\LanguageExt.Core\DataTypes\Option-Shared\SomeUnitContext.cs,93,61,37,6,12,0,20,110,0,0
I:\dev\language-ext\LanguageExt.Core\DataTypes\OptionAsync\OptionAsync.cs,1190,332,110,1,98,0,760,5013,0,0
I:\dev\language-ext\LanguageExt.Core\DataTypes\OptionAsync\OptionAsync.Extensions.cs,261,100,38,3,22,0,139,835,0,0
I:\dev\language-ext\LanguageExt.Core\DataTypes\OptionAsync\OptionAsync.Prelude.cs,866,235,81,7,66,0,565,3740,0,0
I:\dev\language-ext\LanguageExt.Core\DataTypes\OptionUnsafe\OptionUnsafe.cs,862,274,100,9,78,0,510,3156,0,0
I:\dev\language-ext\LanguageExt.Core\DataTypes\OptionUnsafe\OptionUnsafe.Extensions.cs,536,199,73,28,43,0,294,1827,0,0
I:\dev\language-ext\LanguageExt.Core\DataTypes\OptionUnsafe\OptionUnsafe.Prelude.cs,538,159,55,0,45,1,334,2171,0,0
I:\dev\language-ext\LanguageExt.Core\DataTypes\Patch\Edit.cs,136,73,54,0,14,0,49,174,0,0
I:\dev\language-ext\LanguageExt.Core\DataTypes\Patch\Patch.cs,165,55,32,0,24,0,86,463,0,0
I:\dev\language-ext\LanguageExt.Core\DataTypes\Patch\Patch.Internal.cs,136,118,75,18,18,0,0,0,0,0
I:\dev\language-ext\LanguageExt.Core\DataTypes\Patch\Patch.Module.cs,466,320,159,57,38,0,108,661,0,0
I:\dev\language-ext\LanguageExt.Core\DataTypes\Patch\PatchParams.cs,36,29,16,0,3,0,4,15,0,0
I:\dev\language-ext\LanguageExt.Core\DataTypes\Queue\Que.cs,125,98,40,1,27,0,0,0,0,0
I:\dev\language-ext\LanguageExt.Core\DataTypes\Queue\Que.Internal.cs,141,120,57,11,21,0,0,0,0,0
I:\dev\language-ext\LanguageExt.Core\DataTypes\Queue\Queue.Module.cs,251,179,65,0,56,0,16,68,0,0
I:\dev\language-ext\LanguageExt.Core\DataTypes\Range\BigIntegerRange.cs,12,10,6,0,2,0,0,0,0,0
I:\dev\language-ext\LanguageExt.Core\DataTypes\Range\CharRange.cs,31,16,8,1,5,0,10,51,0,0
I:\dev\language-ext\LanguageExt.Core\DataTypes\Range\DecimalRange.cs,11,9,5,0,2,0,0,0,0,0
I:\dev\language-ext\LanguageExt.Core\DataTypes\Range\DoubleRange.cs,11,9,5,0,2,0,0,0,0,0
I:\dev\language-ext\LanguageExt.Core\DataTypes\Range\FloatRange.cs,11,9,5,0,2,0,0,0,0,0
I:\dev\language-ext\LanguageExt.Core\DataTypes\Range\IntegerRange.cs,11,9,5,0,2,0,0,0,0,0
I:\dev\language-ext\LanguageExt.Core\DataTypes\Range\LongRange.cs,11,9,5,0,2,0,0,0,0,0
I:\dev\language-ext\LanguageExt.Core\DataTypes\Range\Range.cs,161,93,47,7,19,0,49,256,0,0
I:\dev\language-ext\LanguageExt.Core\DataTypes\Range\ShortRange.cs,11,9,5,0,2,0,0,0,0,0
I:\dev\language-ext\LanguageExt.Core\DataTypes\Reader\Reader.cs,7,6,4,0,1,0,0,0,0,0
I:\dev\language-ext\LanguageExt.Core\DataTypes\Reader\Reader.Extensions.cs,141,108,51,12,20,0,13,46,0,0
I:\dev\language-ext\LanguageExt.Core\DataTypes\Reader\Reader.Prelude.cs,102,56,25,6,9,0,37,158,0,0
I:\dev\language-ext\LanguageExt.Core\DataTypes\Reader\ReaderResult.cs,25,17,9,0,5,0,3,13,0,0
I:\dev\language-ext\LanguageExt.Core\DataTypes\Record\Attributes.cs,44,33,13,1,8,0,3,16,0,0
I:\dev\language-ext\LanguageExt.Core\DataTypes\Record\Record.cs,59,37,18,0,15,0,7,57,0,0
I:\dev\language-ext\LanguageExt.Core\DataTypes\Record\RecordType.cs,71,34,23,0,11,0,26,104,0,0
I:\dev\language-ext\LanguageExt.Core\DataTypes\Record\RecordTypeIgnoreBase.cs,66,30,21,0,10,0,26,104,0,0
I:\dev\language-ext\LanguageExt.Core\DataTypes\Record\TypeInfoExt.cs,57,48,23,5,9,0,0,0,0,0
I:\dev\language-ext\LanguageExt.Core\DataTypes\Result\OptionalResult.cs,239,151,57,18,34,0,54,194,0,0
I:\dev\language-ext\LanguageExt.Core\DataTypes\Result\Result.cs,197,128,48,14,29,0,40,138,0,0
I:\dev\language-ext\LanguageExt.Core\DataTypes\RWS\RWS.cs,11,9,6,0,2,0,0,0,0,0
I:\dev\language-ext\LanguageExt.Core\DataTypes\RWS\RWS.Extensions.cs,209,164,66,22,21,0,24,144,0,0
I:\dev\language-ext\LanguageExt.Core\DataTypes\RWS\RWS.Prelude.cs,292,132,45,6,28,0,132,655,0,0
I:\dev\language-ext\LanguageExt.Core\DataTypes\RWS\RWSResult.cs,29,20,11,0,6,0,3,17,0,0
I:\dev\language-ext\LanguageExt.Core\DataTypes\Seq\ISeq.cs,200,44,30,0,24,0,132,651,0,0
I:\dev\language-ext\LanguageExt.Core\DataTypes\Seq\Seq.cs,394,167,76,23,42,0,185,869,0,0
I:\dev\language-ext\LanguageExt.Core\DataTypes\Seq\Seq.Extensions.cs,623,157,59,2,51,0,415,2707,0,0
I:\dev\language-ext\LanguageExt.Core\DataTypes\Seq\Seq.Module.cs,930,324,129,38,66,0,540,3476,0,0
I:\dev\language-ext\LanguageExt.Core\DataTypes\Seq\SeqArray.cs,142,107,52,26,19,0,16,51,0,0
I:\dev\language-ext\LanguageExt.Core\DataTypes\Seq\SeqCons.cs,163,135,80,31,21,0,7,25,0,0
I:\dev\language-ext\LanguageExt.Core\DataTypes\Seq\SeqEmpty.cs,68,43,25,0,18,0,7,35,0,0
I:\dev\language-ext\LanguageExt.Core\DataTypes\Seq\SeqEnumerable.cs,179,144,85,32,21,0,14,42,0,0
I:\dev\language-ext\LanguageExt.Core\DataTypes\Seq\SeqEnumerable2.cs,105,71,37,5,19,0,15,61,0,0
I:\dev\language-ext\LanguageExt.Core\DataTypes\Seq\SeqList.cs,130,89,46,19,19,0,22,76,0,0
I:\dev\language-ext\LanguageExt.Core\DataTypes\Seq\SeqLst.cs,123,88,45,17,19,0,16,51,0,0
I:\dev\language-ext\LanguageExt.Core\DataTypes\Set\Set.cs,543,231,90,6,67,0,245,1343,0,0
I:\dev\language-ext\LanguageExt.Core\DataTypes\Set\Set.Internal.cs,1125,807,386,170,105,0,213,1138,0,0
I:\dev\language-ext\LanguageExt.Core\DataTypes\Set\Set.Module.cs,348,101,37,0,32,0,215,1203,0,0
I:\dev\language-ext\LanguageExt.Core\DataTypes\Set\Set.Ord.cs,540,222,84,6,66,0,252,1384,0,0
I:\dev\language-ext\LanguageExt.Core\DataTypes\Set\Set.Ord.Module.cs,364,107,39,0,33,0,224,1249,0,0
I:\dev\language-ext\LanguageExt.Core\DataTypes\Some\Some.cs,149,112,45,7,23,0,14,76,0,0
I:\dev\language-ext\LanguageExt.Core\DataTypes\SpanArray\SpanArray.cs,109,78,44,10,18,0,13,114,0,0
I:\dev\language-ext\LanguageExt.Core\DataTypes\Stack\Stack.Module.cs,908,224,80,0,71,0,613,3998,0,0
I:\dev\language-ext\LanguageExt.Core\DataTypes\Stack\Stck.cs,261,109,44,1,31,0,121,681,0,0
I:\dev\language-ext\LanguageExt.Core\DataTypes\Stack\Stck.Internal.cs,307,170,79,21,25,0,112,595,0,0
I:\dev\language-ext\LanguageExt.Core\DataTypes\State\State.cs,12,11,9,0,1,0,0,0,0,0
I:\dev\language-ext\LanguageExt.Core\DataTypes\State\State.Extensions.cs,171,139,66,22,21,0,11,61,0,0
I:\dev\language-ext\LanguageExt.Core\DataTypes\State\State.Prelude.cs,108,59,26,6,10,0,39,180,0,0
I:\dev\language-ext\LanguageExt.Core\DataTypes\State\StateResult.cs,28,19,10,0,6,0,3,13,0,0
I:\dev\language-ext\LanguageExt.Core\DataTypes\Task\Task.Extensions.cs,249,158,71,14,27,0,64,291,0,0
I:\dev\language-ext\LanguageExt.Core\DataTypes\Task\Task.Prelude.cs,167,80,31,2,22,0,65,310,0,0
I:\dev\language-ext\LanguageExt.Core\DataTypes\Task\Tasks.cs,86,75,43,16,11,0,0,0,0,0
I:\dev\language-ext\LanguageExt.Core\DataTypes\Try\Task.Try.Extensions.cs,603,265,102,13,61,0,277,1577,0,0
I:\dev\language-ext\LanguageExt.Core\DataTypes\Try\Try.cs,13,4,2,0,1,0,8,48,0,0
I:\dev\language-ext\LanguageExt.Core\DataTypes\Try\Try.Extensions.Async.cs,512,180,68,0,57,0,275,1601,0,0
I:\dev\language-ext\LanguageExt.Core\DataTypes\Try\Try.Extensions.cs,796,454,183,76,78,0,264,1507,0,0
I:\dev\language-ext\LanguageExt.Core\DataTypes\Try\Try.Prelude.cs,556,188,66,1,58,0,310,1834,0,0
I:\dev\language-ext\LanguageExt.Core\DataTypes\Try\TryConfig.cs,10,8,5,0,2,0,0,0,0,0
I:\dev\language-ext\LanguageExt.Core\DataTypes\Try\TrySuccContext.cs,41,33,18,0,8,0,0,0,0,0
I:\dev\language-ext\LanguageExt.Core\DataTypes\TryAsync\TryAsync.cs,15,5,3,0,2,0,8,48,0,0
I:\dev\language-ext\LanguageExt.Core\DataTypes\TryAsync\TryAsync.Extensions.cs,1204,712,329,141,117,0,375,2127,0,0
I:\dev\language-ext\LanguageExt.Core\DataTypes\TryAsync\TryAsync.Prelude.cs,525,174,61,1,53,0,298,1731,0,0
I:\dev\language-ext\LanguageExt.Core\DataTypes\TryAsync\TryAsyncSuccContext.cs,50,40,21,0,10,0,0,0,0,0
I:\dev\language-ext\LanguageExt.Core\DataTypes\TryOption\Task.TryOption.Extensions.cs,781,252,96,5,73,0,456,2655,0,0
I:\dev\language-ext\LanguageExt.Core\DataTypes\TryOption\TryOption.cs,14,5,2,0,1,0,8,49,0,0
I:\dev\language-ext\LanguageExt.Core\DataTypes\TryOption\TryOption.Extensions.Async.cs,772,238,86,0,75,0,459,2666,0,0
I:\dev\language-ext\LanguageExt.Core\DataTypes\TryOption\TryOption.Extensions.cs,946,584,238,109,86,0,276,1546,0,0
I:\dev\language-ext\LanguageExt.Core\DataTypes\TryOption\TryOption.Prelude.cs,574,187,64,1,57,0,330,1895,0,0
I:\dev\language-ext\LanguageExt.Core\DataTypes\TryOption\TryOptionSuccContext.cs,82,67,38,0,15,0,0,0,0,0
I:\dev\language-ext\LanguageExt.Core\DataTypes\TryOptionAsync\TryOptionAsync.cs,15,5,3,0,2,0,8,48,0,0
I:\dev\language-ext\LanguageExt.Core\DataTypes\TryOptionAsync\TryOptionAsync.Extensions.cs,2184,1195,541,315,196,0,793,5008,0,0
I:\dev\language-ext\LanguageExt.Core\DataTypes\TryOptionAsync\TryOptionAsync.Prelude.cs,647,204,72,1,64,0,379,2462,0,0
I:\dev\language-ext\LanguageExt.Core\DataTypes\TryOptionAsync\TryOptionAsyncSuccContext.cs,61,49,27,0,12,0,0,0,0,0
I:\dev\language-ext\LanguageExt.Core\DataTypes\Tuple\Tuple.Prelude.cs,58,29,11,0,8,0,21,49,0,0
I:\dev\language-ext\LanguageExt.Core\DataTypes\Tuple\Tuple1\Tuple1.Extensions.cs,101,53,22,1,12,0,36,103,0,0
I:\dev\language-ext\LanguageExt.Core\DataTypes\Tuple\Tuple1\Tuple1.Prelude.cs,97,53,22,1,11,0,33,95,0,0
I:\dev\language-ext\LanguageExt.Core\DataTypes\Tuple\Tuple2\Tuple2.Extensions.cs,194,98,37,2,24,0,72,192,0,0
I:\dev\language-ext\LanguageExt.Core\DataTypes\Tuple\Tuple2\Tuple2.Prelude.cs,159,83,30,1,19,0,57,155,0,0
I:\dev\language-ext\LanguageExt.Core\DataTypes\Tuple\Tuple3\Tuple3.Extensions.cs,202,106,38,2,24,0,72,195,0,0
I:\dev\language-ext\LanguageExt.Core\DataTypes\Tuple\Tuple3\Tuple3.Prelude.cs,191,103,37,2,22,0,66,181,0,0
I:\dev\language-ext\LanguageExt.Core\DataTypes\Tuple\Tuple4\Tuple4.Extensions.cs,210,114,39,2,24,0,72,199,0,0
I:\dev\language-ext\LanguageExt.Core\DataTypes\Tuple\Tuple4\Tuple4.Prelude.cs,206,114,39,2,23,0,69,191,0,0
I:\dev\language-ext\LanguageExt.Core\DataTypes\Tuple\Tuple5\Tuple5.Extensions.cs,230,126,42,2,26,0,78,214,0,0
I:\dev\language-ext\LanguageExt.Core\DataTypes\Tuple\Tuple5\Tuple5.Prelude.cs,220,123,41,2,25,0,72,200,0,0
I:\dev\language-ext\LanguageExt.Core\DataTypes\Tuple\Tuple6\Tuple6.Extensions.cs,245,137,44,2,27,0,81,223,0,0
I:\dev\language-ext\LanguageExt.Core\DataTypes\Tuple\Tuple6\Tuple6.Prelude.cs,235,134,43,2,26,0,75,209,0,0
I:\dev\language-ext\LanguageExt.Core\DataTypes\Tuple\Tuple7\Tuple7.Extensions.cs,244,140,44,2,26,0,78,214,0,0
I:\dev\language-ext\LanguageExt.Core\DataTypes\Tuple\Tuple7\Tuple7.Prelude.cs,241,140,44,2,26,0,75,206,0,0
I:\dev\language-ext\LanguageExt.Core\DataTypes\Unit\Unit.cs,80,47,18,0,15,0,18,75,0,0
I:\dev\language-ext\LanguageExt.Core\DataTypes\Unit\Unit.Prelude.cs,20,10,4,0,2,0,8,27,0,0
I:\dev\language-ext\LanguageExt.Core\DataTypes\UnitsOfMeasure\Accel.cs,145,95,45,2,41,0,9,58,0,0
I:\dev\language-ext\LanguageExt.Core\DataTypes\UnitsOfMeasure\Area.cs,160,106,52,2,45,0,9,57,0,0
I:\dev\language-ext\LanguageExt.Core\DataTypes\UnitsOfMeasure\Length.cs,231,156,81,2,66,0,9,57,0,0
I:\dev\language-ext\LanguageExt.Core\DataTypes\UnitsOfMeasure\Temperature.cs,264,216,58,0,48,0,0,0,0,0
I:\dev\language-ext\LanguageExt.Core\DataTypes\UnitsOfMeasure\Time.cs,190,127,62,3,54,0,9,54,0,0
I:\dev\language-ext\LanguageExt.Core\DataTypes\UnitsOfMeasure\TimeSq.cs,106,72,34,2,31,0,3,9,0,0
I:\dev\language-ext\LanguageExt.Core\DataTypes\UnitsOfMeasure\Velocity.cs,181,121,59,3,51,0,9,58,0,0
I:\dev\language-ext\LanguageExt.Core\DataTypes\UnitsOfMeasure\VelocitySq.cs,107,72,34,2,31,0,4,13,0,0
I:\dev\language-ext\LanguageExt.Core\DataTypes\Validation\Validation.cs,785,374,135,26,83,0,328,1730,0,0
I:\dev\language-ext\LanguageExt.Core\DataTypes\Validation\Validation.Prelude.cs,16,14,6,0,2,0,0,0,0,0
I:\dev\language-ext\LanguageExt.Core\DataTypes\Validation\ValidationData.cs,28,24,14,0,4,0,0,0,0,0
I:\dev\language-ext\LanguageExt.Core\DataTypes\Validation\ValidationDataSeq.cs,26,22,14,0,4,0,0,0,0,0
I:\dev\language-ext\LanguageExt.Core\DataTypes\Validation\ValidationSeq.cs,779,374,135,27,82,0,323,1700,0,0
I:\dev\language-ext\LanguageExt.Core\DataTypes\ValueTuple\ValueTuple.Prelude.cs,65,32,12,0,9,0,24,56,0,0
I:\dev\language-ext\LanguageExt.Core\DataTypes\ValueTuple\Tuple1\ValueTuple1.Extensions.cs,102,54,22,1,12,0,36,103,0,0
I:\dev\language-ext\LanguageExt.Core\DataTypes\ValueTuple\Tuple1\ValueTuple1.Prelude.cs,98,54,22,1,11,0,33,95,0,0
I:\dev\language-ext\LanguageExt.Core\DataTypes\ValueTuple\Tuple2\ValueTuple2.Extensions.cs,180,92,35,2,22,0,66,180,0,0
I:\dev\language-ext\LanguageExt.Core\DataTypes\ValueTuple\Tuple2\ValueTuple2.Prelude.cs,159,83,30,1,19,0,57,155,0,0
I:\dev\language-ext\LanguageExt.Core\DataTypes\ValueTuple\Tuple3\ValueTuple3.Extensions.cs,195,103,37,2,23,0,69,189,0,0
I:\dev\language-ext\LanguageExt.Core\DataTypes\ValueTuple\Tuple3\ValueTuple3.Prelude.cs,191,103,37,2,22,0,66,181,0,0
I:\dev\language-ext\LanguageExt.Core\DataTypes\ValueTuple\Tuple4\ValueTuple4.Extensions.cs,210,114,39,2,24,0,72,199,0,0
I:\dev\language-ext\LanguageExt.Core\DataTypes\ValueTuple\Tuple4\ValueTuple4.Prelude.cs,206,113,39,2,24,0,69,191,0,0
I:\dev\language-ext\LanguageExt.Core\DataTypes\ValueTuple\Tuple5\ValueTuple5.Extensions.cs,223,123,41,2,25,0,75,208,0,0
I:\dev\language-ext\LanguageExt.Core\DataTypes\ValueTuple\Tuple5\ValueTuple5.Prelude.cs,220,123,41,2,25,0,72,200,0,0
I:\dev\language-ext\LanguageExt.Core\DataTypes\ValueTuple\Tuple6\ValueTuple6.Extensions.cs,238,134,43,2,26,0,78,217,0,0
I:\dev\language-ext\LanguageExt.Core\DataTypes\ValueTuple\Tuple6\ValueTuple6.Prelude.cs,234,133,43,2,26,0,75,209,0,0
I:\dev\language-ext\LanguageExt.Core\DataTypes\ValueTuple\Tuple7\ValueTuple7.Extensions.cs,252,144,45,2,27,0,81,226,0,0
I:\dev\language-ext\LanguageExt.Core\DataTypes\ValueTuple\Tuple7\ValueTuple7.Prelude.cs,249,144,45,2,27,0,78,218,0,0
I:\dev\language-ext\LanguageExt.Core\DataTypes\VectorClock\VectorClock.cs,315,213,124,35,31,0,71,369,0,0
I:\dev\language-ext\LanguageExt.Core\DataTypes\VectorClock\Versioned.cs,41,32,19,0,9,0,0,0,0,0
I:\dev\language-ext\LanguageExt.Core\DataTypes\Writer\Writer.cs,9,7,5,0,2,0,0,0,0,0
I:\dev\language-ext\LanguageExt.Core\DataTypes\Writer\Writer.Extensions.cs,212,157,67,22,21,0,34,184,0,0
I:\dev\language-ext\LanguageExt.Core\DataTypes\Writer\Writer.Prelude.cs,205,98,35,2,20,0,87,340,0,0
I:\dev\language-ext\LanguageExt.Core\Extensions\ActionObservable.cs,36,27,16,1,4,0,5,36,0,0
I:\dev\language-ext\LanguageExt.Core\Extensions\ObjectExt.cs,71,39,19,1,7,0,25,115,0,0
I:\dev\language-ext\LanguageExt.Core\Extensions\ObservableExt.cs,38,24,8,2,3,0,11,61,0,0
I:\dev\language-ext\LanguageExt.Core\Extensions\Query.cs,189,136,66,3,53,0,0,0,0,0
I:\dev\language-ext\LanguageExt.Core\Extensions\TryOutExt.cs,45,26,12,4,3,0,16,72,0,0
I:\dev\language-ext\LanguageExt.Core\Extensions\UnsafeValueAccess.cs,57,46,16,8,11,0,0,0,0,0
I:\dev\language-ext\LanguageExt.Core\HKT\ExtraPrelude.cs,218,149,74,0,69,0,0,0,0,0
I:\dev\language-ext\LanguageExt.Core\HKT\OptionT.cs,85,63,23,0,16,0,6,17,0,0
I:\dev\language-ext\LanguageExt.Core\HKT\SeqTrans.cs,96,76,23,0,16,0,4,26,0,0
I:\dev\language-ext\LanguageExt.Core\HKT\Trans.cs,101,76,23,0,16,0,9,37,0,0
I:\dev\language-ext\LanguageExt.Core\HKT\TransAsync.cs,137,107,29,0,21,0,9,37,0,0
